timestamp,transactions,hour,day_of_week,is_weekend,staff_count,promotion_flag,promotion_type,event_flag,event_name,inventory_alert,temp,humidity,rain,snow,wind_speed,clouds,is_holiday,holiday_type,holiday_name,weather_main
2024-01-01 09:00:00,25,9,1,0,5,0,None,0,None,0,25.5,60.0,0.0,0.0,5.0,10,0,None,None,Clear
2024-01-01 10:00:00,32,10,1,0,5,0,None,0,None,0,26.0,58.0,0.0,0.0,6.0,15,0,None,None,Clear
2024-01-01 11:00:00,45,11,1,0,6,0,None,0,None,0,27.5,55.0,0.0,0.0,7.0,20,0,None,None,Clear
2024-01-01 12:00:00,67,12,1,0,7,1,Discount,0,None,0,28.0,52.0,0.0,0.0,8.0,25,0,None,None,Clear
2024-01-01 13:00:00,78,13,1,0,7,1,Discount,0,None,0,29.0,50.0,0.0,0.0,9.0,30,0,None,None,Clear
2024-01-01 14:00:00,89,14,1,0,8,1,Discount,0,None,0,30.0,48.0,0.0,0.0,10.0,35,0,None,None,Clear
2024-01-01 15:00:00,95,15,1,0,8,1,Discount,0,None,0,31.0,45.0,0.0,0.0,11.0,40,0,None,None,Clear
2024-01-01 16:00:00,87,16,1,0,7,1,Discount,0,None,0,30.5,47.0,0.0,0.0,10.0,35,0,None,None,Clear
2024-01-01 17:00:00,76,17,1,0,7,0,None,0,None,0,29.5,50.0,0.0,0.0,9.0,30,0,None,None,Clear
2024-01-01 18:00:00,65,18,1,0,6,0,None,0,None,0,28.0,55.0,0.0,0.0,8.0,25,0,None,None,Clear
2024-01-01 19:00:00,54,19,1,0,5,0,None,0,None,0,26.5,60.0,0.0,0.0,7.0,20,0,None,None,Clear
2024-01-01 20:00:00,43,20,1,0,5,0,None,0,None,0,25.0,65.0,0.0,0.0,6.0,15,0,None,None,Clear
2024-01-01 21:00:00,32,21,1,0,4,0,None,0,None,0,23.5,70.0,0.0,0.0,5.0,10,0,None,None,Clear
2024-01-02 09:00:00,28,9,2,0,5,0,None,0,None,0,24.0,65.0,0.0,0.0,4.0,15,0,None,None,Clouds
2024-01-02 10:00:00,35,10,2,0,5,0,None,0,None,0,25.0,62.0,0.0,0.0,5.0,20,0,None,None,Clouds
2024-01-02 11:00:00,48,11,2,0,6,0,None,0,None,0,26.5,58.0,0.0,0.0,6.0,25,0,None,None,Clouds
2024-01-02 12:00:00,72,12,2,0,7,1,HappyHour,0,None,0,27.0,55.0,0.0,0.0,7.0,30,0,None,None,Clouds
2024-01-02 13:00:00,85,13,2,0,7,1,HappyHour,0,None,0,28.0,52.0,0.0,0.0,8.0,35,0,None,None,Clouds
2024-01-02 14:00:00,98,14,2,0,8,1,HappyHour,0,None,0,29.0,48.0,0.0,0.0,9.0,40,0,None,None,Clouds
2024-01-02 15:00:00,105,15,2,0,8,1,HappyHour,0,None,0,30.0,45.0,0.0,0.0,10.0,45,0,None,None,Clouds
2024-01-02 16:00:00,92,16,2,0,7,1,HappyHour,0,None,0,29.5,47.0,0.0,0.0,9.0,40,0,None,None,Clouds
2024-01-02 17:00:00,78,17,2,0,7,0,None,0,None,0,28.5,50.0,0.0,0.0,8.0,35,0,None,None,Clouds
2024-01-02 18:00:00,67,18,2,0,6,0,None,0,None,0,27.0,55.0,0.0,0.0,7.0,30,0,None,None,Clouds
2024-01-02 19:00:00,56,19,2,0,5,0,None,0,None,0,25.5,60.0,0.0,0.0,6.0,25,0,None,None,Clouds
2024-01-02 20:00:00,45,20,2,0,5,0,None,0,None,0,24.0,65.0,0.0,0.0,5.0,20,0,None,None,Clouds
2024-01-02 21:00:00,34,21,2,0,4,0,None,0,None,0,22.5,70.0,0.0,0.0,4.0,15,0,None,None,Clouds
2024-01-03 09:00:00,22,9,3,0,4,0,None,0,None,0,20.0,75.0,2.5,0.0,12.0,80,0,None,None,Rain
2024-01-03 10:00:00,28,10,3,0,4,0,None,0,None,0,21.0,72.0,3.0,0.0,13.0,85,0,None,None,Rain
2024-01-03 11:00:00,35,11,3,0,5,0,None,0,None,0,22.0,70.0,2.0,0.0,11.0,80,0,None,None,Rain
2024-01-03 12:00:00,45,12,3,0,5,0,None,0,None,0,23.0,68.0,1.5,0.0,10.0,75,0,None,None,Rain
2024-01-03 13:00:00,58,13,3,0,6,0,None,0,None,0,24.0,65.0,1.0,0.0,9.0,70,0,None,None,Rain
2024-01-03 14:00:00,67,14,3,0,6,0,None,0,None,0,25.0,62.0,0.5,0.0,8.0,65,0,None,None,Rain
2024-01-03 15:00:00,72,15,3,0,6,0,None,0,None,0,26.0,60.0,0.0,0.0,7.0,60,0,None,None,Clouds
2024-01-03 16:00:00,65,16,3,0,5,0,None,0,None,0,25.5,62.0,0.0,0.0,6.0,55,0,None,None,Clouds
2024-01-03 17:00:00,54,17,3,0,5,0,None,0,None,0,24.5,65.0,0.0,0.0,5.0,50,0,None,None,Clouds
2024-01-03 18:00:00,43,18,3,0,4,0,None,0,None,0,23.0,68.0,0.0,0.0,4.0,45,0,None,None,Clouds
2024-01-03 19:00:00,32,19,3,0,4,0,None,0,None,0,21.5,70.0,0.0,0.0,3.0,40,0,None,None,Clouds
2024-01-03 20:00:00,25,20,3,0,3,0,None,0,None,0,20.0,75.0,0.0,0.0,2.0,35,0,None,None,Clouds
2024-01-03 21:00:00,18,21,3,0,3,0,None,0,None,0,18.5,80.0,0.0,0.0,1.0,30,0,None,None,Clouds
2024-01-04 09:00:00,30,9,4,0,5,0,None,0,None,0,22.0,70.0,0.0,0.0,5.0,25,0,None,None,Clear
2024-01-04 10:00:00,38,10,4,0,5,0,None,0,None,0,23.5,65.0,0.0,0.0,6.0,30,0,None,None,Clear
2024-01-04 11:00:00,52,11,4,0,6,0,None,0,None,0,25.0,60.0,0.0,0.0,7.0,35,0,None,None,Clear
2024-01-04 12:00:00,75,12,4,0,7,1,WeekendSpecial,0,None,0,26.5,55.0,0.0,0.0,8.0,40,0,None,None,Clear
2024-01-04 13:00:00,88,13,4,0,7,1,WeekendSpecial,0,None,0,28.0,50.0,0.0,0.0,9.0,45,0,None,None,Clear
2024-01-04 14:00:00,102,14,4,0,8,1,WeekendSpecial,0,None,0,29.5,45.0,0.0,0.0,10.0,50,0,None,None,Clear
2024-01-04 15:00:00,115,15,4,0,8,1,WeekendSpecial,0,None,0,31.0,40.0,0.0,0.0,11.0,55,0,None,None,Clear
2024-01-04 16:00:00,98,16,4,0,7,1,WeekendSpecial,0,None,0,30.5,42.0,0.0,0.0,10.0,50,0,None,None,Clear
2024-01-04 17:00:00,82,17,4,0,7,0,None,0,None,0,29.0,45.0,0.0,0.0,9.0,45,0,None,None,Clear
2024-01-04 18:00:00,68,18,4,0,6,0,None,0,None,0,27.5,50.0,0.0,0.0,8.0,40,0,None,None,Clear
2024-01-04 19:00:00,55,19,4,0,5,0,None,0,None,0,26.0,55.0,0.0,0.0,7.0,35,0,None,None,Clear
2024-01-04 20:00:00,42,20,4,0,5,0,None,0,None,0,24.5,60.0,0.0,0.0,6.0,30,0,None,None,Clear
2024-01-04 21:00:00,31,21,4,0,4,0,None,0,None,0,23.0,65.0,0.0,0.0,5.0,25,0,None,None,Clear
2024-01-05 09:00:00,35,9,5,0,5,0,None,0,None,0,24.0,65.0,0.0,0.0,5.0,20,0,None,None,Clear
2024-01-05 10:00:00,45,10,5,0,6,0,None,0,None,0,25.5,60.0,0.0,0.0,6.0,25,0,None,None,Clear
2024-01-05 11:00:00,62,11,5,0,7,0,None,0,None,0,27.0,55.0,0.0,0.0,7.0,30,0,None,None,Clear
2024-01-05 12:00:00,85,12,5,0,8,1,FridayDeal,0,None,0,28.5,50.0,0.0,0.0,8.0,35,0,None,None,Clear
2024-01-05 13:00:00,98,13,5,0,8,1,FridayDeal,0,None,0,30.0,45.0,0.0,0.0,9.0,40,0,None,None,Clear
2024-01-05 14:00:00,112,14,5,0,9,1,FridayDeal,0,None,0,31.5,40.0,0.0,0.0,10.0,45,0,None,None,Clear
2024-01-05 15:00:00,125,15,5,0,9,1,FridayDeal,0,None,0,33.0,35.0,0.0,0.0,11.0,50,0,None,None,Clear
2024-01-05 16:00:00,108,16,5,0,8,1,FridayDeal,0,None,0,32.5,37.0,0.0,0.0,10.0,45,0,None,None,Clear
2024-01-05 17:00:00,92,17,5,0,7,0,None,0,None,0,31.0,40.0,0.0,0.0,9.0,40,0,None,None,Clear
2024-01-05 18:00:00,75,18,5,0,6,0,None,0,None,0,29.5,45.0,0.0,0.0,8.0,35,0,None,None,Clear
2024-01-05 19:00:00,58,19,5,0,5,0,None,0,None,0,28.0,50.0,0.0,0.0,7.0,30,0,None,None,Clear
2024-01-05 20:00:00,45,20,5,0,5,0,None,0,None,0,26.5,55.0,0.0,0.0,6.0,25,0,None,None,Clear
2024-01-05 21:00:00,32,21,5,0,4,0,None,0,None,0,25.0,60.0,0.0,0.0,5.0,20,0,None,None,Clear
2024-01-06 09:00:00,40,9,6,1,6,0,None,0,None,0,26.0,60.0,0.0,0.0,6.0,25,0,None,None,Clear
2024-01-06 10:00:00,55,10,6,1,7,0,None,0,None,0,27.5,55.0,0.0,0.0,7.0,30,0,None,None,Clear
2024-01-06 11:00:00,72,11,6,1,8,0,None,0,None,0,29.0,50.0,0.0,0.0,8.0,35,0,None,None,Clear
2024-01-06 12:00:00,95,12,6,1,9,1,WeekendBrunch,0,None,0,30.5,45.0,0.0,0.0,9.0,40,0,None,None,Clear
2024-01-06 13:00:00,108,13,6,1,9,1,WeekendBrunch,0,None,0,32.0,40.0,0.0,0.0,10.0,45,0,None,None,Clear
2024-01-06 14:00:00,122,14,6,1,10,1,WeekendBrunch,0,None,0,33.5,35.0,0.0,0.0,11.0,50,0,None,None,Clear
2024-01-06 15:00:00,135,15,6,1,10,1,WeekendBrunch,0,None,0,35.0,30.0,0.0,0.0,12.0,55,0,None,None,Clear
2024-01-06 16:00:00,118,16,6,1,9,1,WeekendBrunch,0,None,0,34.5,32.0,0.0,0.0,11.0,50,0,None,None,Clear
2024-01-06 17:00:00,98,17,6,1,8,0,None,0,None,0,33.0,35.0,0.0,0.0,10.0,45,0,None,None,Clear
2024-01-06 18:00:00,78,18,6,1,7,0,None,0,None,0,31.5,40.0,0.0,0.0,9.0,40,0,None,None,Clear
2024-01-06 19:00:00,62,19,6,1,6,0,None,0,None,0,30.0,45.0,0.0,0.0,8.0,35,0,None,None,Clear
2024-01-06 20:00:00,48,20,6,1,5,0,None,0,None,0,28.5,50.0,0.0,0.0,7.0,30,0,None,None,Clear
2024-01-06 21:00:00,35,21,6,1,4,0,None,0,None,0,27.0,55.0,0.0,0.0,6.0,25,0,None,None,Clear
2024-01-07 09:00:00,45,9,0,1,6,0,None,0,None,0,28.0,55.0,0.0,0.0,7.0,30,0,None,None,Clear
2024-01-07 10:00:00,62,10,0,1,7,0,None,0,None,0,29.5,50.0,0.0,0.0,8.0,35,0,None,None,Clear
20244-01-07 11:00:00,78,11,0,1,8,0,None,0,None,0,31.0,45.0,0.0,0.0,9.0,40,0,None,None,Clear
2024-01-07 12:00:00,102,12,0,1,9,1,SundaySpecial,0,None,0,32.5,40.0,0.0,0.0,10.0,45,0,None,None,Clear
2024-01-07 13:00:00,115,13,0,1,9,1,SundaySpecial,0,None,0,34.0,35.0,0.0,0.0,11.0,50,0,None,None,Clear
2024-01-07 14:00:00,128,14,0,1,10,1,SundaySpecial,0,None,0,35.5,30.0,0.0,0.0,12.0,55,0,None,None,Clear
2024-01-07 15:00:00,142,15,0,1,10,1,SundaySpecial,0,None,0,37.0,25.0,0.0,0.0,13.0,60,0,None,None,Clear
2024-01-07 16:00:00,125,16,0,1,9,1,SundaySpecial,0,None,0,36.5,27.0,0.0,0.0,12.0,55,0,None,None,Clear
2024-01-07 17:00:00,105,17,0,1,8,0,None,0,None,0,35.0,30.0,0.0,0.0,11.0,50,0,None,None,Clear
2024-01-07 18:00:00,85,18,0,1,7,0,None,0,None,0,33.5,35.0,0.0,0.0,10.0,45,0,None,None,Clear
2024-01-07 19:00:00,68,19,0,1,6,0,None,0,None,0,32.0,40.0,0.0,0.0,9.0,40,0,None,None,Clear
2024-01-07 20:00:00,52,20,0,1,5,0,None,0,None,0,30.5,45.0,0.0,0.0,8.0,35,0,None,None,Clear
2024-01-07 21:00:00,38,21,0,1,4,0,None,0,None,0,29.0,50.0,0.0,0.0,7.0,30,0,None,None,Clear 
